"Longitude","Latitude","year","PubMedID","Tested","Present","realised","86","184","1246"
-1.24723,5.10506,2014,"31932374",58,0,"YYY",1,0,1
-1.24723,5.10506,2015,"31932374",63,33,"NFD",0,1,0
-1.24723,5.10506,2015,"31932374",63,1,"NFY",0,1,1
-1.24723,5.10506,2015,"31932374",63,27,"NYD",0,0,0
-1.24723,5.10506,2015,"31932374",63,1,"YFD",1,1,0
-1.24723,5.10506,2015,"31932374",63,1,"YYD",1,0,0
-1.24723,5.10506,2015,"31932374",63,0,"YYY",1,0,1
-1.24723,5.10506,2016,"31932374",62,47,"NFD",0,1,0
-1.24723,5.10506,2016,"31932374",62,0,"NFY",0,1,1
-1.24723,5.10506,2016,"31932374",62,14,"NYD",0,0,0
-1.24723,5.10506,2016,"31932374",62,0,"YFD",1,1,0
-1.24723,5.10506,2016,"31932374",62,0,"YYD",1,0,0
-1.24723,5.10506,2016,"31932374",62,1,"YYY",1,0,1
-1.24723,5.10506,2017,"31932374",43,25,"NFD",0,1,0
-1.24723,5.10506,2017,"31932374",43,0,"NFY",0,1,1
-1.24723,5.10506,2017,"31932374",43,15,"NYD",0,0,0
-1.24723,5.10506,2017,"31932374",43,3,"YFD",1,1,0
-1.24723,5.10506,2017,"31932374",43,0,"YYD",1,0,0
-1.24723,5.10506,2017,"31932374",43,0,"YYY",1,0,1
-1.09028,10.8847,1996,"18411325",51,0,"NFY",0,1,1
-1.09028,10.8847,1996,"18411325",51,17,"NYD",0,0,0
-1.09028,10.8847,1996,"18411325",51,27,"YYD",1,0,0
-1.09028,10.8847,2008,"21288822",40,25,"NFD",0,1,0
-1.09028,10.8847,2008,"21288822",40,3,"NYD",0,0,0
-1.09028,10.8847,2008,"21288822",40,10,"YFD",1,1,0
-1.09028,10.8847,2008,"21288822",40,1,"YYD",1,0,0
-1.09028,10.8847,2008,"21288822",40,1,"YYY",1,0,1
-0.375209,6.38591,2014,"31932374",53,31,"NFD",0,1,0
-0.375209,6.38591,2014,"31932374",53,0,"NFY",0,1,1
-0.375209,6.38591,2014,"31932374",53,16,"NYD",0,0,0
-0.375209,6.38591,2014,"31932374",53,5,"YFD",1,1,0
-0.375209,6.38591,2014,"31932374",53,1,"YYD",1,0,0
-0.375209,6.38591,2014,"31932374",53,0,"YYY",1,0,1
-0.375209,6.38591,2015,"31932374",53,37,"NFD",0,1,0
-0.375209,6.38591,2015,"31932374",53,1,"NFY",0,1,1
-0.375209,6.38591,2015,"31932374",53,11,"NYD",0,0,0
-0.375209,6.38591,2015,"31932374",53,8,"YFD",1,1,0
-0.375209,6.38591,2015,"31932374",53,0,"YYD",1,0,0
-0.375209,6.38591,2015,"31932374",53,0,"YYY",1,0,1
-0.375209,6.38591,2016,"31932374",37,22,"NFD",0,1,0
-0.375209,6.38591,2016,"31932374",37,0,"NFY",0,1,1
-0.375209,6.38591,2016,"31932374",37,13,"NYD",0,0,0
-0.375209,6.38591,2016,"31932374",37,2,"YFD",1,1,0
-0.375209,6.38591,2016,"31932374",37,0,"YYD",1,0,0
-0.375209,6.38591,2016,"31932374",37,0,"YYY",1,0,1
-0.375209,6.38591,2017,"31932374",42,17,"NFD",0,1,0
-0.375209,6.38591,2017,"31932374",42,1,"NFY",0,1,1
-0.375209,6.38591,2017,"31932374",42,11,"NYD",0,0,0
-0.375209,6.38591,2017,"31932374",42,3,"YFD",1,1,0
-0.375209,6.38591,2017,"31932374",42,0,"YYD",1,0,0
-0.375209,6.38591,2017,"31932374",42,0,"YYY",1,0,1
-0.2,5.55,2013,"25348538",11,2,"YFD",1,1,0
-0.2,5.55,2013,"25348538",11,7,"YYD",1,0,0
-0.2,5.55,2013,"25348538",11,2,"YYY",1,0,1
-0.2,5.55,2014,"30259821",33,15,"NFD",0,1,0
-0.2,5.55,2014,"30259821",33,0,"NFY",0,1,1
-0.2,5.55,2014,"30259821",33,12,"NYD",0,0,0
-0.2,5.55,2014,"30259821",33,0,"NYY",0,0,1
-0.2,5.55,2014,"30259821",33,3,"YFD",1,1,0
-0.2,5.55,2014,"30259821",33,0,"YFY",1,1,1
-0.2,5.55,2014,"30259821",33,0,"YYD",1,0,0
-0.2,5.55,2014,"30259821",33,0,"YYY",1,0,1
-0.1974,5.5593,2020,"39968164",336,148,"NFD",0,1,0
-0.1974,5.5593,2020,"39968164",336,75,"NYD",0,0,0
0.501895,6.07275,2018,"35346205",112,110,"NFD",0,1,0
1.19777,7.75615,2022,"38570791",165,121,"NFD",0,1,0
1.19777,7.75615,2022,"38570791",165,0,"NFY",0,1,1
1.19777,7.75615,2022,"38570791",165,43,"NYD",0,0,0
1.19777,7.75615,2022,"38570791",165,0,"NYY",0,0,1
1.19777,7.75615,2022,"38570791",165,1,"YFD",1,1,0
1.19777,7.75615,2022,"38570791",165,0,"YFY",1,1,1
1.19777,7.75615,2022,"38570791",165,0,"YYD",1,0,0
1.19777,7.75615,2022,"38570791",165,0,"YYY",1,0,1
1.4193,6.65634,2022,"38570791",192,149,"NFD",0,1,0
1.4193,6.65634,2022,"38570791",192,0,"NFY",0,1,1
1.4193,6.65634,2022,"38570791",192,43,"NYD",0,0,0
1.4193,6.65634,2022,"38570791",192,0,"NYY",0,0,1
1.4193,6.65634,2022,"38570791",192,0,"YFD",1,1,0
1.4193,6.65634,2022,"38570791",192,0,"YFY",1,1,1
1.4193,6.65634,2022,"38570791",192,0,"YYD",1,0,0
1.4193,6.65634,2022,"38570791",192,0,"YYY",1,0,1
3.33845,6.54083,2014,"39841324",25,12,"NYD",0,0,0
3.34282,6.46632,2014,"39841324",39,26,"NYD",0,0,0
3.38457,6.51941,2011,"26808627",28,6,"NFD",0,1,0
3.38457,6.51941,2011,"26808627",28,15,"NYD",0,0,0
3.38457,6.51941,2011,"26808627",28,2,"YFD",1,1,0
3.38457,6.51941,2011,"26808627",28,5,"YYD",1,0,0
3.5408,6.60957,2014,"39841324",71,51,"NYD",0,0,0
3.65722,6.8213,2014,"39841324",57,42,"NYD",0,0,0
3.67,6.66389,2014,"39841324",30,18,"NYD",0,0,0
3.91667,7.39639,2006,"19075074",90,9,"NFD",0,1,0
3.91667,7.39639,2006,"19075074",90,48,"NYD",0,0,0
3.91667,7.39639,2006,"19075074",90,10,"NYY",0,0,1
3.91667,7.39639,2006,"19075074",90,1,"YFD",1,1,0
3.91667,7.39639,2006,"19075074",90,21,"YYD",1,0,0
3.91667,7.39639,2006,"19075074",90,1,"YYY",1,0,1
3.97062,6.58631,2010,"39841324",12,8,"NYD",0,0,0
7.25427,9.05465,2014,"30259821",87,37,"NFD",0,1,0
7.25427,9.05465,2014,"30259821",87,0,"NFY",0,1,1
7.25427,9.05465,2014,"30259821",87,28,"NYD",0,0,0
7.25427,9.05465,2014,"30259821",87,0,"NYY",0,0,1
7.25427,9.05465,2014,"30259821",87,17,"YFD",1,1,0
7.25427,9.05465,2014,"30259821",87,0,"YFY",1,1,1
7.25427,9.05465,2014,"30259821",87,0,"YYD",1,0,0
7.25427,9.05465,2014,"30259821",87,1,"YYY",1,0,1
8.70697,3.75353,2014,"30259821",81,21,"NFD",0,1,0
8.70697,3.75353,2014,"30259821",81,0,"NFY",0,1,1
8.70697,3.75353,2014,"30259821",81,21,"NYD",0,0,0
8.70697,3.75353,2014,"30259821",81,1,"NYY",0,0,1
8.70697,3.75353,2014,"30259821",81,26,"YFD",1,1,0
8.70697,3.75353,2014,"30259821",81,0,"YFY",1,1,1
8.70697,3.75353,2014,"30259821",81,0,"YYD",1,0,0
8.70697,3.75353,2014,"30259821",81,0,"YYY",1,0,1
8.74812,3.61983,2012,"25348116",151,45,"NFD",0,1,0
8.74812,3.61983,2012,"25348116",151,13,"NYD",0,0,0
8.74812,3.61983,2012,"25348116",151,89,"YFD",1,1,0
8.74812,3.61983,2012,"25348116",151,4,"YYD",1,0,0
9.5154,0.3999,2014,"37104310",58,25,"NFD",0,1,0
9.5154,0.3999,2014,"37104310",58,9,"NYD",0,0,0
9.5154,0.3999,2014,"37104310",58,12,"YFD",1,1,0
9.76464,4.05885,2020,"35357271",173,1,"NFD",0,1,0
9.76464,4.05885,2020,"35357271",173,162,"NYD",0,0,0
9.76464,4.05885,2020,"35357271",173,5,"YFD",1,1,0
9.76464,4.05885,2020,"35357271",173,5,"YYD",1,0,0
10.2404,-0.701546,1996,"11751128",58,1,"NFD",0,1,0
10.2404,-0.701546,1996,"11751128",58,1,"NYD",0,0,0
10.2404,-0.701546,1996,"11751128",58,39,"YFD",1,1,0
10.2404,-0.701546,1996,"11751128",58,5,"YYD",1,0,0
10.2404,-0.701546,1996,"11751128",58,2,"YYY",1,0,1
10.5868,-1.22002,2014,"27538948",33,15,"NFD",0,1,0
10.5868,-1.22002,2014,"27538948",33,3,"NYD",0,0,0
10.5868,-1.22002,2014,"27538948",33,14,"YFD",1,1,0
10.5868,-1.22002,2014,"27538948",33,1,"YYD",1,0,0
11.5167,3.86667,1998,"12224572",31,1,"NFD",0,1,0
11.5167,3.86667,1998,"12224572",31,2,"NYD",0,0,0
11.5167,3.86667,1998,"12224572",31,28,"YFD",1,1,0
11.5167,3.86667,2014,"30259821",27,9,"NFD",0,1,0
11.5167,3.86667,2014,"30259821",27,0,"NFY",0,1,1
11.5167,3.86667,2014,"30259821",27,6,"NYD",0,0,0
11.5167,3.86667,2014,"30259821",27,0,"NYY",0,0,1
11.5167,3.86667,2014,"30259821",27,6,"YFD",1,1,0
11.5167,3.86667,2014,"30259821",27,0,"YFY",1,1,1
11.5167,3.86667,2014,"30259821",27,0,"YYD",1,0,0
11.5167,3.86667,2014,"30259821",27,2,"YYY",1,0,1
12.15,-15.195,2023,"40297444",51,18,"NFD",0,1,0
12.4647,-1.14383,2014,"27538948",89,31,"NFD",0,1,0
12.4647,-1.14383,2014,"27538948",89,6,"NFY",0,1,1
12.4647,-1.14383,2014,"27538948",89,6,"NYD",0,0,0
12.4647,-1.14383,2014,"27538948",89,4,"NYY",0,0,1
12.4647,-1.14383,2014,"27538948",89,36,"YFD",1,1,0
12.4647,-1.14383,2014,"27538948",89,4,"YYD",1,0,0
12.4647,-1.14383,2014,"27538948",89,2,"YYY",1,0,1
12.7391,-0.815042,2014,"27538948",236,110,"NFD",0,1,0
12.7391,-0.815042,2014,"27538948",236,3,"NFY",0,1,1
12.7391,-0.815042,2014,"27538948",236,33,"NYD",0,0,0
12.7391,-0.815042,2014,"27538948",236,0,"NYY",0,0,1
12.7391,-0.815042,2014,"27538948",236,61,"YFD",1,1,0
12.7391,-0.815042,2014,"27538948",236,5,"YFY",1,1,1
12.7391,-0.815042,2014,"27538948",236,20,"YYD",1,0,0
12.7391,-0.815042,2014,"27538948",236,4,"YYY",1,0,1
13.2344,-8.83833,2007,"20565881",28,3,"NFD",0,1,0
13.2344,-8.83833,2007,"20565881",28,6,"NYD",0,0,0
13.2344,-8.83833,2007,"20565881",28,1,"YFD",1,1,0
13.2344,-8.83833,2007,"20565881",28,17,"YYD",1,0,0
13.2344,-8.83833,2014,"30259821",145,32,"NFD",0,1,0
13.2344,-8.83833,2014,"30259821",145,1,"NFY",0,1,1
13.2344,-8.83833,2014,"30259821",145,88,"NYD",0,0,0
13.2344,-8.83833,2014,"30259821",145,1,"NYY",0,0,1
13.2344,-8.83833,2014,"30259821",145,2,"YFD",1,1,0
13.2344,-8.83833,2014,"30259821",145,0,"YFY",1,1,1
13.2344,-8.83833,2014,"30259821",145,13,"YYD",1,0,0
13.2344,-8.83833,2014,"30259821",145,0,"YYY",1,0,1
13.2344,-8.83833,2014,"31358591",162,45,"NFD",0,1,0
13.2344,-8.83833,2014,"31358591",162,1,"NFY",0,1,1
13.2344,-8.83833,2014,"31358591",162,97,"NYD",0,0,0
13.2344,-8.83833,2014,"31358591",162,4,"YFD",1,1,0
13.2344,-8.83833,2014,"31358591",162,15,"YYD",1,0,0
13.4165,-12.5905,2015,"29458380",194,49,"NFD",0,1,0
13.4165,-12.5905,2015,"29458380",194,133,"NYD",0,0,0
13.4165,-12.5905,2015,"29458380",194,0,"NYY",0,0,1
13.4165,-12.5905,2015,"29458380",194,1,"YFD",1,1,0
13.4165,-12.5905,2015,"29458380",194,0,"YFY",1,1,1
13.4165,-12.5905,2015,"29458380",194,25,"YYD",1,0,0
13.4165,-12.5905,2015,"29458380",194,0,"YYY",1,0,1
13.4165,-12.5905,2023,"40297444",105,25,"NFD",0,1,0
13.5833,-1.63333,2014,"27538948",25,10,"NFD",0,1,0
13.5833,-1.63333,2014,"27538948",25,4,"NYD",0,0,0
13.5833,-1.63333,2014,"27538948",25,1,"NYY",0,0,1
13.5833,-1.63333,2014,"27538948",25,8,"YFD",1,1,0
13.5833,-1.63333,2014,"27538948",25,1,"YFY",1,1,1
13.5833,-1.63333,2014,"27538948",25,1,"YYD",1,0,0
14.2343,-6.2649,2015,"29458380",201,74,"NFD",0,1,0
14.2343,-6.2649,2015,"29458380",201,106,"NYD",0,0,0
14.2343,-6.2649,2015,"29458380",201,1,"NYY",0,0,1
14.2343,-6.2649,2015,"29458380",201,13,"YFD",1,1,0
14.2343,-6.2649,2015,"29458380",201,1,"YFY",1,1,1
14.2343,-6.2649,2015,"29458380",201,31,"YYD",1,0,0
14.2343,-6.2649,2015,"29458380",201,6,"YYY",1,0,1
14.2343,-6.2649,2023,"40297444",128,25,"NFD",0,1,0
14.7762,-12.3537,2010,"25889865",54,6,"NFD",0,1,0
14.7762,-12.3537,2010,"25889865",54,1,"YYY",1,0,1
14.7896,14.7896,2012,"27562216",102,81,"NFD",0,1,0
14.7896,14.7896,2012,"27562216",102,18,"NYD",0,0,0
14.7896,14.7896,2012,"27562216",102,3,"YFD",1,1,0
14.7896,14.7896,2013,"27562216",50,31,"NFD",0,1,0
14.7896,14.7896,2013,"27562216",50,18,"NYD",0,0,0
14.7896,14.7896,2013,"27562216",50,1,"YFD",1,1,0
15.0506,-7.61383,2023,"40297444",94,18,"NFD",0,1,0
15.2833,-4.26667,2010,"30121345",36,22,"NFD",0,1,0
15.2833,-4.26667,2010,"30121345",36,11,"NYD",0,0,0
15.2833,-4.26667,2010,"30121345",36,2,"YFD",1,1,0
15.2833,-4.26667,2010,"30121345",36,1,"YYD",1,0,0
15.2833,-4.26667,2014,"30259821",28,7,"NFD",0,1,0
15.2833,-4.26667,2014,"30259821",28,0,"NFY",0,1,1
15.2833,-4.26667,2014,"30259821",28,13,"NYD",0,0,0
15.2833,-4.26667,2014,"30259821",28,0,"NYY",0,0,1
15.2833,-4.26667,2014,"30259821",28,2,"YFD",1,1,0
15.2833,-4.26667,2014,"30259821",28,0,"YFY",1,1,1
15.2833,-4.26667,2014,"30259821",28,2,"YYD",1,0,0
15.2833,-4.26667,2014,"30259821",28,2,"YYY",1,0,1
15.3069,-4.36637,2022,"38377612",73,31,"NFD",0,1,0
15.3069,-4.36637,2022,"38377612",73,1,"NFY",0,1,1
15.3069,-4.36637,2022,"38377612",73,35,"NYD",0,0,0
15.3069,-4.36637,2022,"38377612",73,2,"NYY",0,0,1
15.3139,-4.33167,2014,"30259821",16,3,"NFD",0,1,0
15.3139,-4.33167,2014,"30259821",16,0,"NFY",0,1,1
15.3139,-4.33167,2014,"30259821",16,9,"NYD",0,0,0
15.3139,-4.33167,2014,"30259821",16,0,"NYY",0,0,1
15.3139,-4.33167,2014,"30259821",16,2,"YFD",1,1,0
15.3139,-4.33167,2014,"30259821",16,0,"YFY",1,1,1
15.3139,-4.33167,2014,"30259821",16,0,"YYD",1,0,0
15.3139,-4.33167,2014,"30259821",16,1,"YYY",1,0,1
16.0519,1.61241,2013,"30121345",17,7,"NFD",0,1,0
16.0519,1.61241,2013,"30121345",17,8,"NYD",0,0,0
16.0519,1.61241,2013,"30121345",17,2,"YFD",1,1,0
16.0519,1.61241,2013,"30121345",17,0,"YYD",1,0,0
16.7001,8.46722,2016,"null",179,96,"NFD",0,1,0
16.7001,8.46722,2016,"null",179,74,"NYD",0,0,0
16.7001,8.46722,2016,"null",179,6,"YFD",1,1,0
16.7001,8.46722,2016,"null",179,3,"YYD",1,0,0
17.5667,-12.5167,2023,"40297444",107,16,"NFD",0,1,0
19.5,-16.083,2023,"40297444",73,7,"NFD",0,1,0
20,-12.2,2023,"40297444",91,19,"NFD",0,1,0
20.4761,-9.74041,2015,"29458380",96,34,"NFD",0,1,0
20.4761,-9.74041,2015,"29458380",96,68,"NYD",0,0,0
20.4761,-9.74041,2015,"29458380",96,0,"NYY",0,0,1
20.4761,-9.74041,2015,"29458380",96,1,"YFD",1,1,0
20.4761,-9.74041,2015,"29458380",96,0,"YFY",1,1,1
20.4761,-9.74041,2015,"29458380",96,6,"YYD",1,0,0
20.4761,-9.74041,2015,"29458380",96,0,"YYY",1,0,1
20.4761,-9.74041,2023,"40297444",104,18,"NFD",0,1,0
21.7587,-4.03833,2013,"29390014",62,18,"NFD",0,1,0
28.2037,-15.4165,2014,"30259821",21,4,"NFD",0,1,0
28.2037,-15.4165,2014,"30259821",21,0,"NFY",0,1,1
28.2037,-15.4165,2014,"30259821",21,14,"NYD",0,0,0
28.2037,-15.4165,2014,"30259821",21,0,"NYY",0,0,1
28.2037,-15.4165,2014,"30259821",21,0,"YFD",1,1,0
28.2037,-15.4165,2014,"30259821",21,0,"YFY",1,1,1
28.2037,-15.4165,2014,"30259821",21,2,"YYD",1,0,0
28.2037,-15.4165,2014,"30259821",21,0,"YYY",1,0,1
29.7373,-2.60273,2010,"21996622",80,30,"NFD",0,1,0
29.7373,-2.60273,2010,"21996622",80,2,"NFY",0,1,1
29.7373,-2.60273,2010,"21996622",80,19,"NYD",0,0,0
29.7373,-2.60273,2010,"21996622",80,1,"NYY",0,0,1
29.7373,-2.60273,2010,"21996622",80,1,"YFD",1,1,0
29.7373,-2.60273,2010,"21996622",80,22,"YYD",1,0,0
29.7373,-2.60273,2010,"21996622",80,2,"YYY",1,0,1
30.0874,16.0858,2008,"21896916",89,5,"NFD",0,1,0
30.0874,16.0858,2008,"21896916",89,1,"NFY",0,1,1
30.0874,16.0858,2008,"21896916",89,7,"NYD",0,0,0
30.0874,16.0858,2008,"21896916",89,60,"YFD",1,1,0
30.0874,16.0858,2008,"21896916",89,2,"YFY",1,1,1
30.0874,16.0858,2008,"21896916",89,14,"YYD",1,0,0
30.0874,16.0858,2008,"21896916",89,4,"YYY",1,0,1
30.2801,0.6546,2024,"40265952",43,26,"NFD",0,1,0
30.6193,-0.611435,2013,"29390014",94,29,"NFD",0,1,0
31.6606,-1.84916,2010,"25007802",111,29,"NFD",0,1,0
31.6606,-1.84916,2010,"25007802",111,2,"NFY",0,1,1
31.6606,-1.84916,2010,"25007802",111,46,"NYD",0,0,0
31.6606,-1.84916,2010,"25007802",111,5,"NYY",0,0,1
31.6606,-1.84916,2010,"25007802",111,5,"YFD",1,1,0
31.6606,-1.84916,2010,"25007802",111,0,"YFY",1,1,1
31.6606,-1.84916,2010,"25007802",111,19,"YYD",1,0,0
31.6606,-1.84916,2010,"25007802",111,5,"YYY",1,0,1
31.9167,-26.2167,1999,"20199676",50,4,"NFD",0,1,0
31.9167,-26.2167,1999,"20199676",50,4,"NFY",0,1,1
31.9167,-26.2167,1999,"20199676",50,2,"NYD",0,0,0
31.9167,-26.2167,1999,"20199676",50,1,"NYY",0,0,1
31.9167,-26.2167,1999,"20199676",50,2,"YFD",1,1,0
31.9167,-26.2167,1999,"20199676",50,1,"YFY",1,1,1
31.9167,-26.2167,1999,"20199676",50,15,"YYD",1,0,0
31.9167,-26.2167,1999,"20199676",50,19,"YYY",1,0,1
32.5833,-25.9667,2014,"30259821",14,5,"NFD",0,1,0
32.5833,-25.9667,2014,"30259821",14,0,"NFY",0,1,1
32.5833,-25.9667,2014,"30259821",14,8,"NYD",0,0,0
32.5833,-25.9667,2014,"30259821",14,0,"NYY",0,0,1
32.5833,-25.9667,2014,"30259821",14,1,"YFD",1,1,0
32.5833,-25.9667,2014,"30259821",14,0,"YFY",1,1,1
32.5833,-25.9667,2014,"30259821",14,0,"YYD",1,0,0
32.5833,-25.9667,2014,"30259821",14,0,"YYY",1,0,1
32.9,-2.5,2010,"25007802",90,24,"NFD",0,1,0
32.9,-2.5,2010,"25007802",90,5,"NFY",0,1,1
32.9,-2.5,2010,"25007802",90,33,"NYD",0,0,0
32.9,-2.5,2010,"25007802",90,9,"NYY",0,0,1
32.9,-2.5,2010,"25007802",90,1,"YFD",1,1,0
32.9,-2.5,2010,"25007802",90,2,"YFY",1,1,1
32.9,-2.5,2010,"25007802",90,14,"YYD",1,0,0
32.9,-2.5,2010,"25007802",90,2,"YYY",1,0,1
33.45,-8.9,2010,"25007802",111,11,"NFD",0,1,0
33.45,-8.9,2010,"25007802",111,0,"NFY",0,1,1
33.45,-8.9,2010,"25007802",111,86,"NYD",0,0,0
33.45,-8.9,2010,"25007802",111,10,"NYY",0,0,1
33.45,-8.9,2010,"25007802",111,0,"YFD",1,1,0
33.45,-8.9,2010,"25007802",111,0,"YFY",1,1,1
33.45,-8.9,2010,"25007802",111,3,"YYD",1,0,0
33.45,-8.9,2010,"25007802",111,1,"YYY",1,0,1
33.5592,14.3987,2017,"40439506",170,104,"NFD",0,1,0
33.5592,14.3987,2017,"40439506",170,14,"NYD",0,0,0
33.5592,14.3987,2017,"40439506",170,20,"YFD",1,1,0
33.5592,14.3987,2017,"40439506",170,1,"YYD",1,0,0
34.0217,0.2225,2022,"40739505",24,17,"NFD",0,1,0
34.0217,0.2225,2022,"40739505",24,5,"NYD",0,0,0
34.1685,0.3618,2022,"40739505",94,76,"NFD",0,1,0
34.1685,0.3618,2022,"40739505",94,18,"NYD",0,0,0
34.206,-0.436792,2009,"23836177",80,24,"YYY",1,0,1
34.206,-0.436792,2011,"24994911",278,107,"NFD",0,1,0
34.2422,-0.0617328,2003,"17467344",130,34,"YYY",1,0,1
34.2744,-0.09978,2007,"19187521",54,20,"YYY",1,0,1
34.5864,8.2412,2021,"40681807",131,115,"NFD",0,1,0
34.5864,8.2412,2021,"40681807",131,14,"NYD",0,0,0
34.5864,8.2412,2021,"40681807",131,2,"YFD",1,1,0
34.5864,8.2412,2021,"40681807",131,0,"YFY",1,1,1
34.5864,8.2412,2021,"40681807",131,0,"YYD",1,0,0
34.5864,8.2412,2021,"40681807",131,0,"YYY",1,0,1
34.6663,-0.0748716,2006,"19398039",68,1,"NFD",0,1,0
34.6663,-0.0748716,2006,"19398039",68,5,"NFY",0,1,1
34.6663,-0.0748716,2006,"19398039",68,2,"NYD",0,0,0
34.6663,-0.0748716,2006,"19398039",68,4,"NYY",0,0,1
34.6663,-0.0748716,2006,"19398039",68,0,"YFD",1,1,0
34.6663,-0.0748716,2006,"19398039",68,33,"YFY",1,1,1
34.6663,-0.0748716,2006,"19398039",68,1,"YYD",1,0,0
34.6663,-0.0748716,2006,"19398039",68,22,"YYY",1,0,1
34.7562,0.164699,2006,"19398039",33,0,"NFD",0,1,0
34.7562,0.164699,2006,"19398039",33,7,"NFY",0,1,1
34.7562,0.164699,2006,"19398039",33,0,"NYD",0,0,0
34.7562,0.164699,2006,"19398039",33,2,"NYY",0,0,1
34.7562,0.164699,2006,"19398039",33,1,"YFD",1,1,0
34.7562,0.164699,2006,"19398039",33,16,"YFY",1,1,1
34.7562,0.164699,2006,"19398039",33,1,"YYD",1,0,0
34.7562,0.164699,2006,"19398039",33,5,"YYY",1,0,1
34.9768,-0.0602319,2006,"19398039",36,0,"NFD",0,1,0
34.9768,-0.0602319,2006,"19398039",36,2,"NFY",0,1,1
34.9768,-0.0602319,2006,"19398039",36,0,"NYD",0,0,0
34.9768,-0.0602319,2006,"19398039",36,1,"NYY",0,0,1
34.9768,-0.0602319,2006,"19398039",36,2,"YFD",1,1,0
34.9768,-0.0602319,2006,"19398039",36,20,"YFY",1,1,1
34.9768,-0.0602319,2006,"19398039",36,1,"YYD",1,0,0
34.9768,-0.0602319,2006,"19398039",36,8,"YYY",1,0,1
35.1333,-0.0833333,2006,"19398039",28,0,"NFD",0,1,0
35.1333,-0.0833333,2006,"19398039",28,9,"NFY",0,1,1
35.1333,-0.0833333,2006,"19398039",28,0,"NYD",0,0,0
35.1333,-0.0833333,2006,"19398039",28,0,"NYY",0,0,1
